05.07.21 GC-MS Measurement;;;;;;Comment;Interesting peak of m/z=275;;;;;;;;;;
PE_B from 22.06.21, Derivatization of PE_B_1 to PE_B_6, C_Std_1/2/3 and PostBlk 04.07.21;;;;;;;;;;;;;;;;;
Method: PFAS_Li-Sun.m;;Integration by ;;;;;;;;;;;;;;;
Injection vol. 1ul;;ChemStation;;;;;;;;;Theor. Conc [ppm];;Computed Conc [ppm];;OG pw Conc [ppm];;
;;m/z 293;Int. Std.;;m/z 525;;;m/z 526;;;PFOA;;for n-Hex = extracted solution;;1:1 dilution for pw extraction;;
Run no.;Sample ID;RT;SIM_293;SIM_293_auto;RT;SIM_525;SIM_525_auto;RT;SIM_526;SIM_526_auto;in n-Hex;in aq. Sol;SIM_525;SIM_525_auto;SIM_525;SIM_525_auto;
1;PE_B_PFAS_04.07_10_Blk.1;15.859;236336;236336;10.8;0;6254;0;0;0;0;;;;;;
2;PE_B_PFAS_04.07_10_Blk.2;15.859;361174;371280;0;0;0;0;0;0;0;;;;;;
3;PE_B_PFAS_04.07_4_1.1;15.859;433796;430719;10.807;0;36781;0;0;0;;;0.0;0.1598;0.0;0.3197;0
4;PE_B_PFAS_04.07_4_1.2;15.86;378102;378002;10.809;0;25142;0;0;0;;;0.0;0.1333;0.0;0.2666;0
5;PE_B_PFAS_04.07_2_C_Std_2.1;15.86;512563;509270;10.787;853878;853878;10.787;0;127562;2.5;0.5;;;;;
6;PE_B_PFAS_04.07_2_C_Std_2.2;15.861;299955;299955;10.813;985732;984415;10.813;148744;148677;2.5;0.5;;;;;
7;PE_B_PFAS_04.07_1_C_Std_1.1;15.861;351518;350977;10.807;109206;110241;10.807;0;16872;0.25;0.05;;;;;
8;PE_B_PFAS_04.07_1_C_Std_1.2;15.862;414390;412871;10.809;117140;117133;10.808;;18301;0.25;0.05;;;;;
9;PE_B_PFAS_04.07_3_C_Std_3.1;15.863;289350;289350;10.814;2317099;2313151;10.814;353493;353493;5;1;;;;;
10;PE_B_PFAS_04.07_3_C_Std_3.2;15.86;326195;321995;10.81;2155583;2145706;10.81;320694;320694;5;1;;;;;
11;PE_B_PFAS_04.07_5_2.1;15.861;440913;440913;10.809;0;33430;10.808;0;5230;;;0.0;0.1522;0.0;0.3044;0
12;PE_B_PFAS_04.07_5_2.2;15.863;499398;497774;0;0;0;0;0;0;;;0.0;0.0000;0.0;0.0000;0
;;;;;;;;;;;;Mean;0.0;0.1113;0.0;0.2227;0
;;;;;;;;;;;;Std-Dev;0.0;0.0751;;;
13;PE_B_PFAS_04.07_10_Blk.3;15.86;364185;363610;0;0;0;0;0;0;;;;;;;
;;;;;;;;;;;;;;;;;
14;PE_B_PFAS_04.07_6_3.1;15.865;343231;343231;10.822;180679;181013;10.823;0;27745;;;0.4915;0.4887;0.9830;0.9775;2.5
15;PE_B_PFAS_04.07_6_3.2;15.864;343533;342090;10.819;207828;208827;10.819;0;31738;;;0.5532;0.5522;1.1063;1.1043;2.5
16;PE_B_PFAS_04.07_7_4.1;15.863;387266;384859;10.82;194928;196476;10.82;0;30038;;;0.5239;0.5240;1.0477;1.0480;2.5
17;PE_B_PFAS_04.07_7_4.2;15.863;346011;346011;10.821;275736;275814;10.821;0;41312;;;0.7074;0.7049;1.4148;1.4098;2.5
;;;;;;;;;;;;Mean;0.5690;0.5674;1.1379;1.1349;2.5
;;;;;;;;;;;;Std-Dev;0.0957;0.0952;;;
18;PE_B_PFAS_04.07_8_5.1;15.866;449807;448666;10.814;742742;742742;10.813;0;110669;;;1.7681;1.7697;3.5362;3.5393;7.5
19;PE_B_PFAS_04.07_8_5.2;15.865;352642;352091;10.824;666333;664531;10.823;98293;98293;;;1.5945;1.5913;3.1891;3.1826;7.5
20;PE_B_PFAS_04.07_9_6.1;15.867;433420;430546;10.798;568617;568617;10.797;0;84071;;;1.3726;1.3726;2.7452;2.7452;7.5
21;PE_B_PFAS_04.07_9_6.2;15.868;383199;381088;10.831;616447;616356;10.831;0;93815;;;1.4812;1.4815;2.9625;2.9629;7.5
;;;;;;;;;;;;Mean;1.5541;1.5538;3.1082;3.1075;7.5
;;;;;;;;;;;;Std-Dev;0.1690;0.1694;;;
22;PE_B_PFAS_04.07_10_Blk.4;15.868;354679;354679;10.82;0;42100;0;0;0;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
07.07.21 GC-MS Measurement;;;;;;Comment;Interesting peak of m/z=275;;;;;;;;;;
PE_B from 22.06.21, Derivatization of PE_B_1 to PE_B_6, C_Std_1/2/3 and PostBlk 06.07.21;;;;;;;Artefact from high Conc of previous measurement?;;;;;;;;;;
Method: PFAS_Li-Sun.m;;Integration by ;;;;;;;;;;;;;;;
Injection vol. 1ul;;ChemStation;;;;;;;;;Theor. Conc [ppm];;Computed Conc [ppm];;;;
;;m/z 293;Int. Std.;;m/z 525;;;m/z 526;;;PFOA;;for n-Hex = extracted solution;;;;
Run no.;Sample ID;RT;SIM_293;SIM_293_auto;RT;SIM_525;SIM_525_auto;RT;SIM_526;SIM_526_auto;in n-Hex;in aq. Sol;SIM_525;SIM_525_auto;;;
1;PE_B_PFAS_emtpy;;;;;;;;;;0;;;;;;
2;PE_B_PFAS_06.07_10_Blk.1;15.868;341416;341416;10.824;0;45132;0;0;0;0;;;;;;
3;PE_B_PFAS_06.07_10_Blk.2;15.87;607250;607250;10.83;0;50110;0;0;0;0;;;;;;
4;PE_B_PFAS_06.07_1_C_Std_1.1;15.869;130937;136149;10.832;844407;844407;10.832;0;127396;1.25;0.25;;;;;
5;PE_B_PFAS_06.07_1_C_Std_1.2;15.868;97902;98704;10.832;803690;803690;10.832;0;121707;1.25;0.25;;;;;
6;PE_B_PFAS_06.07_2_C_Std_2.1;15.869;279894;279894;10.833;8946010;8918872;10.833;1348714;1348714;10;2;;;;;
7;PE_B_PFAS_06.07_2_C_Std_2.2;15.869;282159;282159;10.833;9017042;8990727;10.833;1360347;1359038;10;2;;;;;
8;PE_B_PFAS_06.07_3_C_Std_3.1;15.872;487153;487153;10.838;21292759;21232349;10.838;3214076;3209351;25;5;;;;;
9;PE_B_PFAS_06.07_3_C_Std_3.2;15.854;588156;588156;10.798;21344369;21268193;10.798;3210869;3209718;25;5;;;;;
10;PE_B_PFAS_06.07_10_Blk.3;15.853;509719;505768;10.796;485398;486020;10.795;0;74093;;;;;;;
;;;;;;;;;;;;;;;;;
11;PE_B_PFAS_06.07_4_7.1;15.852;270128;268122;10.796;1537277;1535444;10.796;232839;233238;;;1.795283984;1.774214422;;;12.5
12;PE_B_PFAS_06.07_4_7.2;15.851;237239;237239;10.797;1991960;1991960;10.797;301629;301629;;;2.322221008;2.305611508;;;12.5
13;PE_B_PFAS_06.07_5_8.1;15.853;435691;435691;10.791;1217692;1216284;10.79;181997;182530;;;1.424913487;1.40270347;;;12.5
14;PE_B_PFAS_06.07_5_8.2;15.854;409520;406602;10.796;1289070;1286556;10.796;191740;191740;;;1.50763422;1.484501996;;;12.5
;;;;;;;;;;;;Mean;1.762513175;1.741757849;;;12.5
;;;;;;;;;;;;Std. Dev;0.405497067;0.40829843;;;
15;PE_B_PFAS_06.07_6_9.1;15.852;374085;373631;10.798;2840377;2826529;10.798;420845;420845;;;3.305460603;3.277072606;;;25
16;PE_B_PFAS_06.07_6_9.2;15.853;493403;491254;10.798;3645438;3631848;10.797;549052;549052;;;4.238454462;4.214485906;;;25
17;PE_B_PFAS_06.07_7_10.1;15.852;173044;173044;10.799;3724084;3718770;10.799;564690;564690;;;4.329598159;4.315665487;;;25
18;PE_B_PFAS_06.07_7_10.2;15.851;195773;195773;10.799;3662902;3658071;10.798;549240;549240;;;4.25869368;4.245010194;;;25
;;;;;;;;;;;;Mean;4.033051726;4.013058548;;;25
;;;;;;;;;;;;Std. Dev;0.486632375;0.492483777;;;
19;PE_B_PFAS_06.07_8_11.1;15.852;136648;137318;10.798;8169291;8134064;10.798;1221462;1221170;;;9.481196406;9.455188232;;;50
20;PE_B_PFAS_06.07_8_11.2;15.851;226320;227867;10.797;9621603;9565766;10.797;1438299;1438299;;;11.16429642;11.12172844;;;50
21;PE_B_PFAS_06.07_9_12.1;15.852;261092;262544;10.795;5105882;5071788;10.795;762644;762644;;;5.930978736;5.890615374;;;50
22;PE_B_PFAS_06.07_9_12.2;15.851;229732;229732;10.798;5160900;5139561;10.797;771522;771522;;;5.994739689;5.969504996;;;50
23;PE_B_PFAS_06.07_10_Blk.4;15.851;241496;241496;10.797;0;133944;10.796;0;21373;;Mean;8.142802812;8.109259261;;;50
;;;;;;;;;;;;Std. Dev;2.609410019;2.606877083;;;
