Ionchromatography;;;;;;;;;;
UiO;Department of Geosience;;;;;;;;;
Sequence Details;;;;;;;;;;
Name:;;20210810 Mats Ippach;;;Created On:;42,864.520;;;;
Directory:;;Instrument Data\IC_Dual\Dual\2021;;;Created By:;bruker;;;;
Operator:Mufak Naoroz;;;;;Updated On:;44,421.398;;;;
No. of Injections:;;68.000;;;Updated By:;bruker;;;;
;;;;;;;;;;
;;;;;;;;;;
No. ;Injection Name;Amount ;Amount ;Amount ;Amount;Amount ;Amount ;;;
;;ppm;ppm;ppm;ppm;ppm;ppm;;;
;;Anion_ECD;Anion_ECD;Anion_ECD;Anion_ECD;Anion_ECD;Anion_ECD;;;
;;F;Cl;SO4;Br;NO3;PO4;;;
;blk;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;
;blk;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;
;Anion 1;0.095;0.335;0.690;0.690;0.683;0.928;;;
;Anion 2;0.285;0.629;1.240;1.259;1.256;1.882;;;
;Anion 3;1.363;2.465;4.929;4.905;4.918;7.503;;;
;Anion 4;4.975;10.008;20.016;20.021;20.018;29.999;;;
;blk;n.a.;n.a.;0.026;n.a.;n.a.;n.a.;;;
;X10  1E--1;0.005;0.967;1.459;0.289;35.347;n.a.;;;
;X10  1E--2;0.006;0.833;1.289;0.270;27.685;n.a.;;;
;X10  1E--3;0.004;1.096;1.405;0.250;35.435;n.a.;;;
;X10  1E--4;0.007;0.938;1.381;0.242;28.770;n.a.;;;
;X10  1E--5;0.036;0.961;0.843;0.232;0.252;n.a.;;;
;X10  1E--6;0.036;0.986;0.909;0.231;0.201;n.a.;;;
;X10  1E--7;0.032;0.940;0.884;0.216;1.948;n.a.;;;
;X10  1E--8;0.031;0.803;0.837;0.223;0.187;n.a.;;;
;X10  1E--9;n.a.;0.918;1.345;0.222;35.841;n.a.;;;
;X10  1E--10;0.000;0.808;1.289;0.218;35.761;n.a.;;;
;X10  1E--11;n.a.;0.831;1.305;0.212;36.951;n.a.;;;
;X10  1E--12;0.003;0.838;1.223;0.213;28.946;n.a.;;;
;X10  1E--13;0.026;0.352;0.584;n.a.;0.183;n.a.;;;
;X10  1E--14;0.021;0.274;0.388;n.a.;0.159;n.a.;;;
;X10  1E--15;0.023;0.369;0.523;n.a.;0.167;n.a.;;;
;X10  1E--16;0.024;0.244;0.480;n.a.;0.166;n.a.;;;
;X2  1E-1;0.386;4.860;7.653;0.665;177.350;n.a.;;;
;X2  1E-2;0.394;4.164;6.814;0.608;139.406;n.a.;;;
;X2  1E-3;0.379;5.496;7.333;0.514;176.521;n.a.;;;
;X2  1E-4;0.395;4.684;7.236;0.452;143.633;n.a.;;;
;X2  1E-5;0.555;4.560;4.534;0.471;0.647;n.a.;;;
;X2  1E-6;0.551;4.944;4.886;0.455;0.406;n.a.;;;
;X2  1E-7;0.508;4.690;4.727;0.390;9.684;n.a.;;;
;X2  1E-8;0.530;3.976;4.498;0.414;0.325;n.a.;;;
;Blk;n.a.;n.a.;0.032;0.167;n.a.;n.a.;;;
;Cat3;n.a.;0.065;9.615;0.173;83.003;n.a.;;;
;Blk;n.a.;n.a.;0.034;0.168;n.a.;n.a.;;;
;X2  1E-9;0.355;4.585;7.629;0.383;176.032;n.a.;;;
;X2  1E-10;0.360;4.016;7.325;0.335;177.958;n.a.;;;
;X2  1E-11;0.348;4.123;7.449;0.362;183.362;n.a.;;;
;X2  1E-12;0.373;4.153;7.065;0.311;143.923;n.a.;;;
;X2  1E-13;0.516;1.622;4.003;n.a.;0.314;n.a.;;;
;X2  1E-14;0.495;1.205;2.778;0.180;0.185;n.a.;;;
;X2  1E-15;0.506;1.724;3.644;0.174;0.217;n.a.;;;
;X2  1E-16;0.500;1.005;3.266;0.176;0.213;n.a.;;;
;X2  1E-17;n.a.;8.274;4.546;0.510;0.341;31.015;;;F- Peak merged/not distinguishable from following acetate peak!
;X2  1E-18;n.a.;8.441;4.942;0.455;0.349;32.115;;;
;X2  1E-19;n.a.;9.307;4.611;0.546;0.336;33.306;;;
;X2  1E-20;n.a.;8.035;3.778;0.461;0.283;32.189;;;
;X2  1E-21;n.a.;6.182;3.806;0.326;0.211;24.765;;;
;X2  1E-22;n.a.;6.067;4.106;0.324;0.193;24.332;;;
;X2  1E-23;n.a.;5.885;4.599;0.330;0.179;25.969;;;
;X2  1E-24;n.a.;5.919;4.740;0.331;0.194;26.384;;;
;X2  1E-25;n.a.;8.518;2.256;0.188;0.699;n.a.;;;
;X2  1E-26;n.a.;7.549;2.069;0.187;0.443;n.a.;;;
;X2  1E-27;n.a.;10.610;2.795;0.184;0.599;n.a.;;;
;X2  1E-28;n.a.;9.089;2.514;0.186;0.612;n.a.;;;
;X2  1E-29;n.a.;3.821;1.488;0.315;0.358;n.a.;;;
;X2  1E-30;n.a.;3.604;1.473;0.315;0.329;n.a.;;;
;X2  1E-31;n.a.;3.654;1.447;0.315;0.317;n.a.;;;
;X2  1E-32;n.a.;3.971;1.517;0.332;0.345;n.a.;;;
;Blk;n.a.;n.a.;0.035;0.167;n.a.;n.a.;;;
